Actual_Price,Linear_Regression,Random_Forest,XGBoost,Neural_Network,Stacking_Ensemble,Voting_Ensemble
6550,6116.52035456432,6158.437247119305,6208.4927,5659.4917,6148.576069083316,6199.136544160666
3000,3007.9745659732553,2968.1972988965836,2916.3184,3002.2131,2995.993544587075,2974.706964794141
1200,1528.040691170931,1534.193614961668,1477.3674,1339.5469,1518.7307628301548,1544.9916262526979
4000,3946.5423886923513,4115.0428571428565,4576.095,3830.755,4076.9818166765826,4218.685842613734
1250,1508.8159622505136,1446.8896765993943,1611.7006,1652.1257,1459.1765697131661,1521.8081981960731
500,644.9534857747317,584.6214275103979,846.4075,1109.3745,614.0293408141556,683.8270255660767
1800,2232.5378267247115,2347.108591269841,2557.6692,2314.6523,2456.2395005175845,2445.273513141439
5000,5338.917884514418,5314.719964855492,5408.06,4976.4795,5471.574621345648,5416.817223229115
2150,2056.2268168355054,2146.4233888466733,2179.7004,2252.5813,2119.544498362149,2128.656840777514
5000,4755.209327167779,4875.008079183508,5056.077,4631.322,4855.921406573431,4883.948746494661
3100,3016.3847060973085,3061.2329365079368,2616.9268,3024.043,2994.774030236001,2916.69313814025
2145,2019.740547060219,2097.7280079365087,2126.4976,2226.4128,2084.0741831384294,2094.3100658102912
2500,2516.805089480592,2499.8232511824745,2684.063,2583.566,2502.816593703478,2561.073530148251
4500,4535.393981637119,4149.890005092947,4015.6152,4227.433,4148.881135828375,4188.1933495529465
2100,1867.5041601256048,1948.1491194121838,1926.8292,1980.3137,1906.1188929080577,1886.9078400439448
1850,1761.5992711352383,1868.4346627819637,1969.5404,1884.5012,1830.665695301915,1881.7643663755396
4100,4080.6993137575023,3920.467884199135,4185.5806,3915.2642,4187.029781899827,4122.859797640092
2602,2414.197526516761,2580.151587301587,2368.574,2581.2507,2511.0105127775864,2464.7849801260377
800,1234.629011429769,1014.6142714954315,1017.1333,1492.3535,1061.02250615931,1093.9020472262537
2500,2625.4208820607246,2467.6417045454546,2640.0042,2597.435,2448.258462691483,2555.262832650455
2000,3693.8499409142873,2972.049404761905,3307.8655,3534.729,3057.202639962801,3225.948495304276
3200,3186.3502472625,3213.314573378869,3294.5833,3114.4028,3213.595371287137,3271.078054857088
900,705.7548450460681,794.1828934134604,726.47815,621.4388,755.5883301112077,745.0162199976816
1000,1447.8090943370298,1015.9734562090043,1077.0466,1635.0961,1116.0307883266626,1193.328525386335
500,498.24496060824777,506.1995352593144,539.0032,930.0252,492.5441293166501,515.4460576255238
2655,2462.912694613634,2648.4490854978353,2423.6272,2622.8877,2557.700235139141,2511.795566749023
2455,2248.0771438366273,2377.7830572205567,2298.525,2429.7288,2328.786791135337,2321.136760691679
1000,1224.066036278396,1015.33455988456,1076.7714,1490.2799,1084.2188245253449,1122.831171157129
1000,1016.8045431304822,999.6209054834055,915.80133,1325.3186,980.0460970790397,982.0971109689309
2500,2375.8605897965463,2475.9766514933876,2425.6572,2526.9536,2440.4093017419036,2424.3190069781563
2135,1996.7866407251618,2094.9051161871093,2036.7855,2154.7283,2060.394627857407,2048.693594159356
1200,1003.3432968035509,995.2703498705628,846.36176,1273.9004,969.5656428760251,951.6132012755353
4800,4333.42298711518,4503.89769119769,4746.2837,4333.612,4461.453989717716,4524.696526056426
3000,2917.3996219937026,3000.241779497099,2983.7742,2942.078,2969.526423934748,2954.12159166803
7000,6865.683387505374,7146.487857142858,7004.3135,6086.4575,7109.24700667867,7078.551405815619
5000,5619.009156578428,4990.769966144966,4938.6997,4982.887,5174.677699463412,5181.688526368679
4000,3957.2512058835136,3992.718079365079,3386.5835,3767.5493,3886.7502330027473,3729.8921613989273
1650,1565.9435020148467,1663.5088457049487,1663.9995,1735.4475,1622.9399271720488,1632.7827446887397
2250,2201.3356010547163,2253.900490558292,2398.386,2346.5808,2231.6344981623597,2267.31957971793
12350,11587.577002111106,11727.2028041229,11508.587,10571.973,11672.705870724418,11579.828202154944
2250,2305.5481669013425,2381.571973995847,2418.9688,2465.2227,2352.143545423955,2363.9277270369316
4000,6188.671044071716,6445.249365079366,6433.683,5500.443,6314.827839052857,6307.593689302516
9450,8344.11524290769,9143.289589438336,8465.314,7573.862,8522.835707748258,8538.420499456935
600,700.4898873491952,582.8283534349818,633.63947,1193.8463,598.6742288665099,637.4571850707842
2000,2860.909721472209,2544.9179583490495,2770.9646,2904.5542,2681.2259827431226,2752.271475566533
7615,6977.7804188457585,6704.803472222221,7214.0146,6415.7856,7094.757386058739,7097.9469994618585
5175,5185.989443127564,5497.358635991571,5502.3027,5005.087,5422.287065170276,5397.467414793533
