Month,Commodity,mean,count
12,Indian Beans (Seam),2912.0,25
12,Jowar(Sorghum),2063.65,17
12,Kartali (Kantola),17500.0,1
12,Lemon,2380.0,25
12,Little gourd (Kundru),5710.0,25
12,Maize,1992.5,12
12,Mango (Raw-Ripe),8156.25,24
12,Onion,3525.0,25
12,Paddy(Dhan)(Common),2129.67,96
12,Papaya (Raw),984.0,25
12,Peas cod,5561.0,25
12,Pegeon Pea (Arhar Fali),6326.0,25
12,Pointed gourd (Parval),5083.33,48
12,Potato,2129.0,25
12,Pumpkin,1614.0,25
12,Rat Tail Radish (Mogari),18058.82,17
12,Ridgeguard(Tori),3870.0,25
12,"Sesamum(Sesame,Gingelly,Til)",12750.0,2
12,Snakeguard,2263.89,18
12,Soyabean,3785.18,55
12,Sponge gourd,2810.0,25
12,Surat Beans (Papadi),8785.0,25
12,Sweet Potato,3077.0,25
12,Tomato,2231.0,25
12,Turmeric (raw),7410.0,25
12,Yam (Ratalu),6520.0,25
